File.accession	File.format	File.type	File.format.type	Output.type	File.assembly	Experiment.accession	Assay	Biosample.term.id	Biosample.term.name	Biosample.type	Biosample.organism	Biosample.treatments	Biosample.treatments.amount	Biosample.treatments.duration	Biosample.genetic.modifications.methods	Biosample.genetic.modifications.categories	Biosample.genetic.modifications.targets	Biosample.genetic.modifications.gene.targets	Biosample.genetic.modifications.site.coordinates	Biosample.genetic.modifications.zygosity	Experiment.target	Library.made.from	Library.depleted.in	Library.extraction.method	Library.lysis.method	Library.crosslinking.method	Library.strand.specific	Experiment.date.released	Project	RBNS.protein.concentration	Library.fragmentation.method	Library.size.range	Biological.replicate.s.	Technical.replicate.s.	Read.length	Mapped.read.length	Run.type	Paired.end	Paired.with	Index.of	Derived.from	Size	Lab	md5sum	dbxrefs	File.download.URL	Genome.annotation	Platform	Controlled.by	File.Status	s3_uri	File.analysis.title	File.analysis.status	Audit.WARNING	Audit.NOT_COMPLIANT	Audit.ERROR	Life.Stage
ENCFF540YUQ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR136ZQZ	Histone ChIP-seq	UBERON:0000473	testis	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2019-02-12	ENCODE	NA	sonication (generic)	200-600	1	1_1, 1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF356LFX/, /files/ENCFF324OTG/, /files/ENCFF656OLJ/	1028162	ENCODE Processing Pipeline	19f4e4d4c021ef9955a4fbe287ee69ec	NA	https://www.encodeproject.org/files/ENCFF540YUQ/@@download/ENCFF540YUQ.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/22/fb02adad-a5f1-4fce-b19e-22e559fdabd5/ENCFF540YUQ.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
ENCFF008PSH	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR743DDX	Histone ChIP-seq	UBERON:0000945	stomach	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA	NA	NA	1	1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF337KHD/, /files/ENCFF356LFX/, /files/ENCFF066VHO/	2382710	ENCODE Processing Pipeline	56e992362f2760c1819e6e0280c94745	NA	https://www.encodeproject.org/files/ENCFF008PSH/@@download/ENCFF008PSH.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/10/e6ce78e2-bfc7-43d1-acd6-319e0d6c16d2/ENCFF008PSH.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read length, mild to moderate bottlenecking	NA		Embryo
ENCFF994ZGB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR322TJD	Histone ChIP-seq	UBERON:0000947	aorta	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA		NA	1	1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF457NFR/, /files/ENCFF356LFX/, /files/ENCFF502SBI/	957714	ENCODE Processing Pipeline	46db618573bbfbeb2498c3b7e9a9e024	NA	https://www.encodeproject.org/files/ENCFF994ZGB/@@download/ENCFF994ZGB.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/19/46746df5-13e9-4c77-b3fc-e3c42abd2e07/ENCFF994ZGB.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read depth, mild to moderate bottlenecking, low read length, moderate library complexity	NA	NA	Adult
ENCFF872XZM	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR519CFV	Histone ChIP-seq	UBERON:0000947	aorta	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA		NA	2	2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF356LFX/, /files/ENCFF479KBS/, /files/ENCFF356TOQ/	2250359	ENCODE Processing Pipeline	66ab2bcaeccb91ea094bdf3a334747a5	NA	https://www.encodeproject.org/files/ENCFF872XZM/@@download/ENCFF872XZM.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/10/1f6f8e69-9a95-4a9e-ab10-513467a0234d/ENCFF872XZM.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read depth, mild to moderate bottlenecking, moderate library complexity, inconsistent platforms, low read length, control low read depth	NA	NA	Adult
ENCFF285RPL	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR242AHB	Histone ChIP-seq	UBERON:0000992	ovary	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2019-09-11	ENCODE	NA	none	200-600	1	1_1	NA	NA	NA	NA	NA	NA	/files/ENCFF356LFX/, /files/ENCFF449BWJ/, /files/ENCFF674MNK/	640138	ENCODE Processing Pipeline	f1117d9ad92babf6fe911ae48dea2a00	NA	https://www.encodeproject.org/files/ENCFF285RPL/@@download/ENCFF285RPL.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/22/3615b4cd-5fe7-46b8-9fca-dc885a4b263c/ENCFF285RPL.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
ENCFF108SAD	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR189JIH	Histone ChIP-seq	UBERON:0000995	uterus	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2018-12-11	ENCODE	NA	sonication (generic)	200-600	1	1_1, 1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF074QAU/, /files/ENCFF568VJD/, /files/ENCFF394KMS/, /files/ENCFF356LFX/	1859691	ENCODE Processing Pipeline	6a402b3c6e14b32c56b69f1a6d14dd92	NA	https://www.encodeproject.org/files/ENCFF108SAD/@@download/ENCFF108SAD.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/24/4c18e530-1b60-42fe-9331-3af0e62f5c9f/ENCFF108SAD.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
ENCFF231SUE	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR249INE	Histone ChIP-seq	UBERON:0000995	uterus	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2016-11-03	ENCODE	NA	sonication (generic)	200-600	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF913QUI/, /files/ENCFF403FRJ/, /files/ENCFF433JGG/, /files/ENCFF356LFX/, /files/ENCFF142RDG/	1867406	ENCODE Processing Pipeline	a517f0a8f1b52136e50a19b3c1e9ebab	NA	https://www.encodeproject.org/files/ENCFF231SUE/@@download/ENCFF231SUE.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/17/fb339de4-c35e-47cf-b780-441722e87bc3/ENCFF231SUE.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
ENCFF382EMP	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR981UJA	Histone ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2016-11-03	ENCODE	NA	sonication (generic)	200-600	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF471WXG/, /files/ENCFF367GAT/, /files/ENCFF356LFX/, /files/ENCFF143ULA/	2686022	ENCODE Processing Pipeline	cbb439c50eb3c2e6ee4583ad8292008a	NA	https://www.encodeproject.org/files/ENCFF382EMP/@@download/ENCFF382EMP.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/17/3d1584d2-4d35-4f1d-a4f0-b490734d8d6d/ENCFF382EMP.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read depth, mild to moderate bottlenecking	NA	NA	Adult
ENCFF271OHD	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR748TFF	Histone ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2016-11-03	ENCODE	NA	sonication (generic)	200-600	1	1_1	NA	NA	NA	NA	NA	NA	/files/ENCFF721BMD/, /files/ENCFF356LFX/, /files/ENCFF640LEC/	950847	ENCODE Processing Pipeline	b86881805bebea924ecf5bb3e7630a33	NA	https://www.encodeproject.org/files/ENCFF271OHD/@@download/ENCFF271OHD.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/17/90d79a6a-c476-42f4-ac49-7279a4375057/ENCFF271OHD.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
ENCFF654QRM	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR432DPY	Histone ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2019-02-11	ENCODE	NA	sonication (generic)	200-600	1	1_1, 1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF356LFX/, /files/ENCFF357XSQ/, /files/ENCFF383UGY/	1251152	ENCODE Processing Pipeline	9370772bc5744db8c06465fc0e102d1d	NA	https://www.encodeproject.org/files/ENCFF654QRM/@@download/ENCFF654QRM.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/23/6c02f404-a4cb-4c4b-a59c-58c8932c6ab5/ENCFF654QRM.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
ENCFF987GGX	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR596PFU	Histone ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2016-07-28	ENCODE	NA	sonication (generic)	200-600	1	1_1	NA	NA	NA	NA	NA	NA	/files/ENCFF356LFX/, /files/ENCFF187IST/, /files/ENCFF176KGL/	1669170	ENCODE Processing Pipeline	0e0d4a76a444f84116c8519d8aeadc5e	NA	https://www.encodeproject.org/files/ENCFF987GGX/@@download/ENCFF987GGX.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/17/258e4023-b5d3-4db9-8d81-12f71d655773/ENCFF987GGX.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
ENCFF142COP	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR640XRV	Histone ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2017-10-30	ENCODE	NA	sonication (generic)	200-600	1, 2	1_1, 1_2, 2_1, 2_2	NA	NA	NA	NA	NA	NA	/files/ENCFF654CCW/, /files/ENCFF498OUP/, /files/ENCFF658CNF/, /files/ENCFF124FBL/, /files/ENCFF356LFX/	1964025	ENCODE Processing Pipeline	2381295409af19885240e406793121b9	NA	https://www.encodeproject.org/files/ENCFF142COP/@@download/ENCFF142COP.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/22/25f8a285-67bc-4de9-8d42-b86b4f9a86a1/ENCFF142COP.bed.gz	ENCODE4 v1.5.1 GRCh38	released	inconsistent platforms	NA	NA	Adult
ENCFF368OSK	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR069EGE	Histone ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2017-10-30	ENCODE	NA	sonication (generic)	200-600	1, 3	1_1, 1_2, 3_1	NA	NA	NA	NA	NA	NA	/files/ENCFF843QLT/, /files/ENCFF571YWF/, /files/ENCFF666LWI/, /files/ENCFF960JEY/, /files/ENCFF356LFX/, /files/ENCFF157FAJ/	2186761	ENCODE Processing Pipeline	802255f175e32733f60e9e513300e4d4	NA	https://www.encodeproject.org/files/ENCFF368OSK/@@download/ENCFF368OSK.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/22/51409852-08b5-43d3-9160-79e56407c394/ENCFF368OSK.bed.gz	ENCODE4 v1.5.1 GRCh38	released	inconsistent platforms	NA	NA	Adult
ENCFF294GNO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR792VLP	Histone ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2018-12-14	ENCODE	NA	sonication (generic), none	200-600	1, 2	1_1, 1_2, 2_1, 2_2	NA	NA	NA	NA	NA	NA	/files/ENCFF234NNJ/, /files/ENCFF612OXU/, /files/ENCFF200TOF/, /files/ENCFF346JZT/, /files/ENCFF356LFX/	1882564	ENCODE Processing Pipeline	8d7fb1b3eca1c39f133e5d43aed76dc3	NA	https://www.encodeproject.org/files/ENCFF294GNO/@@download/ENCFF294GNO.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/23/dbe65935-1470-404a-9ad9-c3fc6002c00e/ENCFF294GNO.bed.gz	ENCODE4 v1.5.1 GRCh38	released	inconsistent platforms	NA	NA	Adult
ENCFF266NWL	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR208QRN	Histone ChIP-seq	UBERON:0001157	transverse colon	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2016-11-03	ENCODE	NA	sonication (generic)	200-600	1, 2	1_1, 1_2, 2_1, 2_2	NA	NA	NA	NA	NA	NA	/files/ENCFF518ROY/, /files/ENCFF356LFX/, /files/ENCFF554HMI/, /files/ENCFF690ZOS/, /files/ENCFF607IHR/	2098941	ENCODE Processing Pipeline	aaf811b2b7fb06ee89f18ce3cef4e3a7	NA	https://www.encodeproject.org/files/ENCFF266NWL/@@download/ENCFF266NWL.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/17/633df558-489b-4d90-a447-db79d8e688a3/ENCFF266NWL.bed.gz	ENCODE4 v1.5.1 GRCh38	released	inconsistent platforms	NA	NA	Adult
ENCFF414SKU	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR937EVN	Histone ChIP-seq	UBERON:0001159	sigmoid colon	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2019-08-01	ENCODE	NA	sonication (generic), none	200-600	1	1_1, 1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF076ONX/, /files/ENCFF356LFX/, /files/ENCFF633SJK/	1512016	ENCODE Processing Pipeline	392d9179e205410cddb37c9c785e7753	NA	https://www.encodeproject.org/files/ENCFF414SKU/@@download/ENCFF414SKU.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/21/d8510939-6ae0-49cb-babb-d4e5c79b0662/ENCFF414SKU.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
ENCFF014ZMR	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR268ZCF	Histone ChIP-seq	UBERON:0001159	sigmoid colon	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2016-11-03	ENCODE	NA	sonication (generic)	200-600	1	1_1	NA	NA	NA	NA	NA	NA	/files/ENCFF383FJZ/, /files/ENCFF568QTU/, /files/ENCFF356LFX/	1677769	ENCODE Processing Pipeline	88d952948ad49fa6f6b7053f0e3b134e	NA	https://www.encodeproject.org/files/ENCFF014ZMR/@@download/ENCFF014ZMR.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/17/2d03de9a-9d99-4c39-8279-11d4f56222c4/ENCFF014ZMR.bed.gz	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking	NA	NA	Adult
ENCFF111SYA	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR807XUB	Histone ChIP-seq	UBERON:0001159	sigmoid colon	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2019-09-11	ENCODE	NA	sonication (generic)	200-600	1	1_1, 1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF779GZH/, /files/ENCFF988WLO/, /files/ENCFF356LFX/	1877458	ENCODE Processing Pipeline	3cb915ec9e5676a832eeb597af77d533	NA	https://www.encodeproject.org/files/ENCFF111SYA/@@download/ENCFF111SYA.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/23/840cd2e1-bd33-4591-9f82-ce1f524e23e8/ENCFF111SYA.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
